Application_ID,Companies,Job_Title,Educational Degree,Location,Experience_Years,Number of Skills,Source of Application,Application_Received,Last_Updated,Salary,Applicant Selected
APP1000568,Deloitte,Financial Analyst,M.Com,Chennai,8,6,Company Website,2024-09-11 09:04:51,2024-11-25 11:08:25,1316000,1
APP1000438,Byju's,Sales Executive,B.Com,Pune,1,5,Employee Referral,2024-10-27 08:25:25,2024-11-02 07:28:57,650000,1
APP1000961,StartUpX,Frontend Developer,B.Tech,Pune,2,2,Employee Referral,2025-03-06 10:43:03,2025-03-24 23:12:14,825000,1
APP1001286,Flipkart,Backend Engineer,B.Tech,Hyderabad,7,6,Job Fair,2024-12-27 08:16:48,2025-01-02 17:36:34,1269000,1
APP1000531,HCL,Software Developer,MCA,Lucknow,3,6,Company Website,2025-02-09 09:36:52,2025-04-17 07:39:43,1186000,0
APP1000337,TCS,Software Developer,B.Tech,Ahmedabad,2,2,LinkedIn,2024-09-15 20:33:13,2024-12-08 15:53:56,1058000,0
APP1000025,Accenture,Data Analyst,B.Tech,Pune,3,4,Naukri,2025-03-15 22:31:18,2025-04-13 10:25:33,884000,0
APP1000379,HealthTechY,Data Scientist,M.Tech,Pune,5,2,Naukri,2025-02-10 21:37:08,2025-04-25 12:58:16,1307000,1
APP1000756,Cognizant,Software Developer,M.Tech,Jaipur,3,2,LinkedIn,2024-11-15 06:34:12,2024-12-28 19:22:46,1152000,0
APP1000548,HealthTechY,Data Scientist,M.Tech,Lucknow,3,4,Company Website,2025-07-31 00:07:39,2025-08-28 10:09:06,1269000,1
APP1000306,Paytm,Financial Analyst,MBA,Chennai,1,4,Indeed,2024-04-04 08:53:32,2024-05-30 02:25:57,1086000,0
APP1001097,Byju's,Web Developer,MCA,Ahmedabad,4,4,Employee Referral,2025-05-08 22:24:43,2025-05-28 04:32:32,1079000,1
APP1000182,Swiggy,Backend Engineer,B.Tech,Mumbai,5,6,Job Fair,2025-04-30 22:05:25,2025-06-10 18:57:24,1255000,1
APP1001461,Capgemini,Business Analyst,MBA,Mumbai,6,2,Indeed,2024-02-13 20:58:43,2024-02-23 22:16:26,1237000,0
APP1000301,Adobe,Software Developer,MCA,Chennai,5,4,Employee Referral,2024-03-18 06:55:50,2024-03-21 02:03:30,1576000,1
APP1001279,HCL,Software Developer,B.Tech,Chennai,5,2,Indeed,2024-07-22 03:53:42,2024-08-20 08:24:19,1111000,0
APP1000385,Deloitte,Chartered Accountant,Chartered Accountant,Hyderabad,6,6,Naukri,2024-06-27 01:27:49,2024-09-18 01:30:09,1489000,1
APP1001390,Ola,Data Scientist,PhD,Hyderabad,6,3,Company Website,2025-05-03 16:17:58,2025-07-12 01:10:55,1609000,0
APP1001427,Adobe,Software Developer,B.Tech,Ahmedabad,6,2,LinkedIn,2025-06-26 15:54:59,2025-08-29 20:01:12,1507000,0
APP1000941,Amazon,Backend Engineer,M.Tech,Hyderabad,5,2,Employee Referral,2024-09-01 00:51:27,2024-11-08 20:58:50,1588000,0
APP1001114,TCS,Software Developer,B.Tech,Jaipur,6,5,Employee Referral,2024-07-11 11:50:12,2024-08-18 09:50:00,1215000,1
APP1000515,Amazon,Data Scientist,B.Tech,Kolkata,10,4,LinkedIn,2024-09-07 07:10:43,2024-09-28 00:44:09,1808000,1
APP1000790,Infosys,Software Developer,MCA,Delhi NCR,5,3,LinkedIn,2025-05-07 11:29:06,2025-06-14 00:43:27,1315000,0
APP1001101,Reliance Jio,Software Developer,M.Tech,Pune,7,6,Indeed,2024-07-30 16:14:57,2024-10-14 06:02:23,1434000,1
APP1001349,Byju's,Software Developer,B.Tech,Hyderabad,6,3,Job Fair,2024-07-20 18:48:47,2024-09-14 01:23:41,1033000,1
APP1000047,Amazon,Backend Engineer,M.Tech,Lucknow,6,3,Naukri,2025-02-07 17:12:25,2025-04-25 18:10:40,1679000,0
APP1000000,Google,Data Scientist,B.Tech,Bangalore,3,4,Employee Referral,2024-11-06 01:27:04,2024-12-08 02:34:19,1536000,0
APP1000541,Google,Software Developer,MCA,Ahmedabad,5,3,Indeed,2025-06-10 09:44:15,2025-09-06 20:34:55,1518000,0
APP1000610,HealthTechY,Software Developer,B.Tech,Pune,3,5,Employee Referral,2024-01-03 20:29:46,2024-02-11 01:30:37,957000,1
APP1000865,Tech Mahindra,Backend Engineer,B.Tech,Chennai,6,4,LinkedIn,2024-01-27 22:53:29,2024-04-09 04:13:40,1269000,1
APP1000234,Deloitte,Financial Analyst,MBA,Bangalore,0,6,Naukri,2024-12-09 18:27:12,2024-12-19 20:21:11,1042000,0
APP1000809,Flipkart,Data Scientist,PhD,Hyderabad,8,4,Naukri,2024-08-06 15:47:45,2024-09-29 16:43:06,1730000,1
APP1001203,HCL,Software Developer,B.Tech,Hyderabad,10,4,Indeed,2024-07-22 19:34:44,2024-08-08 00:38:51,1393000,1
APP1001142,Deloitte,Business Analyst,MBA,Chandigarh,4,5,LinkedIn,2025-02-09 16:24:56,2025-04-28 10:28:44,1187000,1
